,,,,,,,,,,,,Impact mechanisms on species,,,,,,,,,Impact mechanisms on ecosystem function,,,
List_id,Rank,Species,Subgroup,Common Name,Taxonomic Group,Functional Group,Pathway,Origin,Bioregions threatened,Already present in EU?,Overall Risk,Competition,Predation,Hybridization,Disease Transmission,Parasitism,Poisoning/Toxicity,Bio-fouling,Grazing/herbivory/browsing,Interactions with other IAS,Nutrient cycling,Physical modification of habitat,Natural succession,Disruption to food webs
79,HIGH,Charybdis japonica,Marine,Asian paddle crab,"Decapoda, Portunidae",Pred,"Hull, Ballast","TeNWP, CIP","MED, MAC, ATL",Y,192,X,X,,X,,,,X,,,,,X
80,HIGH,Perna viridis,Marine,Asian Green mussel,"Mytiloida, Mytilidae",Filter,"Hull, Ballast",,"MED, MAC, ATL",N,192,X,,,,,X,X,,,X,X,,
81,HIGH,Symplegma reptans,Marine,tunicate,"Stolidobranchia, Styelidae",Filter,"Hull, Ballast",,"MED, MAC, ATL, BLK",N,192,X,,,,,,X,,,X,X,,
82,HIGH,Potamocorbula amurensis,Marine,Asian basket clam,"Myoida, Corbulidae",Filter,Ballast,TeNWP,"MED, MAC, ATL, BLK, BAL",N,180,X,X,,,,,,X,X,X,X,X,X
83,HIGH,Macrorhynchia philippina,Marine,White stinger,,Susp,,"CIP, WIP","MED, MAC, ATL",Y,175,,,,,,,,,,,,,
84,HIGH,Pachycondyla chinensis,Terr_Inverts,Asian Needle Ant,"Hymenoptera, Formicidae",Omni,THM,As,"MED, ATL, CON, STE, MAC",N,175,X,X,,,,,,,X,X,X,X,X
85,HIGH,Solenopsis invicta,Terr_Inverts,Red Imported Fire Ant,"Hymenoptera, Formicidae",Omni,THM,SAm,"MAC, MED",N,160,X,X,,,,X,,X,X,X,X,X,X
86,HIGH,Solenopsis geminata,Terr_Inverts,Tropical fire ant,"Hymenoptera, Formicidae",Omni,THM,NAm/SAm,"MAC, MED, ATL?, CON?, STE",N,160,X,X,,,,X,,,X,X,X,X,X
87,HIGH,Pheidole megacephala,Terr_Inverts,Big-headed Ant,"Hymenoptera, Formicidae",Omni,THM,Afr,"MAC, MED",Y,157.7087402,X,X,,(x) indirectly - it promotes honeydew producing hemiptera which in turn often vector plant disease,,,,,X,X,X,X,X
88,HIGH,Misgurnus mizolepis,Freshwater,Chinese weather loach,Fish,Omni,"R, Pet",AT,"MAC, MED, ATL, CON, STE",Y,153,X,X,X,,,,,,,X,,,X
